GNISIDNAME,COUNT,AREA,PercentArea_Value,MIN_cellsml,MAX_cellsml,RANGE_cellsml,MEAN_cellsml,STD_cellsml,Day,Year,Date,wi_DWSA
Lake of the Woods_01161601,43,3870000,,6310,6310,0,6310,0,246,2019,9/3/2019,
Lost Creek Lake_01158890,99,8910000,,6310,6310,0,6310,0,246,2019,9/3/2019,
Odell Lake_01147159,22,1980000,,6310,6310,0,6310,0,108,2017,4/18/2017,
Paulina Lake_01147502,52,4680000,,6310,6310,0,6310,0,246,2019,9/3/2019,
Renner Lake_00267175,20,1800000,,6310,33113,26804,8625,7042,246,2019,9/3/2019,
Siltcoos Lake_01158483,90,8100000,,346737,1770110,1423373,1000990,346023,246,2019,9/3/2019,
Sturgeon Lake_01127681,117,10530000,,6310,1870684,1864374,343793,357940,246,2019,9/3/2019,
Summer Lake_01150595,540,48600000,,6310,2208005,2201696,702653,357348,246,2019,9/3/2019,
Summit Lake_01150624,19,1710000,,6310,6310,0,6310,0,246,2019,9/3/2019,
Timothy Lake_01151253,47,4230000,,6310,6310,0,6310,0,246,2019,9/3/2019,
Upper Klamath Lake_01151685,2590,233100000,,6310,6854886,6848576,1777899,1064661,246,2019,9/3/2019,
Waldo Lake_01151818,230,20700000,,6310,6310,0,6310,0,246,2019,9/3/2019,
Wickiup Reservoir_01161711,89,8010000,,6310,398108,391798,19516,70710,246,2019,9/3/2019,
Beulah Reservoir_01117569,50,4500000,,6310,6310,0,6310,0,244,2019,9/1/2019,
Warm Springs Reservoir_01128656,132,11880000,,6310,328096,321786,14604,44824,244,2019,9/1/2019,
Alkali Lake_01116863,27,2430000,,6310,5058250,5051940,742848,1601580,243,2019,8/31/2019,
Alkali Lake_01116864,12,1080000,,6310,6310,0,6310,0,243,2019,8/31/2019,
Beulah Reservoir_01117569,61,5490000,,6310,6310,0,6310,0,243,2019,8/31/2019,
Cold Springs Reservoir_01119125,29,2610000,,6310,1458815,1452506,676997,604227,243,2019,8/31/2019,
Cottage Grove Lake_01158179,13,1170000,,6310,6310,0,6310,0,243,2019,8/31/2019,
